9,15
205,201
20,29
192,192
15,4
175,142
9,42
42,42
358,402
51,32
200,166
103,110
13,23
109,88
129,142
123,136
20,27
2,32
123,121
10,4
106,113
90,113
51,38
18,4
87,47
190,189
8,51
12,21
17,25
120,86
101,134
126,134
346,294
129,136
374,507
16,38
302,421
362,320
56,36
22,25
266,252
211,213
129,161
48,21
46,88
21,51
103,88
138,139
289,279
358,385
218,252
309,320
5,13
12,21
31,7
72,121
218,242
4,13
40,32
272,245
200,210
5,29
13,21
25,11
22,19
110,163
14,7
8,4
4,25
81,126
228,276
7,7
2,11
144,152
68,77
312,327
55,56
52,21
2,4
270,259
102,63
46,56
122,118
30,45
113,150
14,36
197,235
212,161
66,27
202,186
16,29
44,42
104,93
305,283
393,389
2,13
48,70
13,27
31,27
6,17
32,74
86,103
128,96
54,56
356,335
23,21
95,113
38,23
13,40
39,25
20,29
21,38
5,34
11,9
83,93
33,51
3,17
64,67
212,255
11,25
212,175
209,204
6,9
392,368
156,116
14,34
177,81
9,49
143,128
7,27
32,38
14,19
3,11
296,272
50,63
2,11
18,21
39,15
84,79
10,34
203,235
18,45
2,19
57,56
453,450
462,475
39,42
45,51
421,393
40,38
4,23
8,9
93,74
370,347
2,36
5,17
47,81
31,21
238,276
12,21
70,47
15,47
19,15
141,163
126,108
16,11
18,25
84,63
234,252
207,276
30,70
26,27
375,398
36,32
2,29
30,27
117,79
6,21
5,36
96,98
181,189
177,155
23,29
48,74
155,144
10,15
199,226
242,297
14,23
8,17
48,72
176,175
5,29
16,38
110,152
20,4
15,29
193,172
2,19
20,51
69,25
153,166
335,339
23,15
210,198
11,17
75,51
189,201
103,150
242,252
133,77
4,25
465,430
303,210
50,42
114,113
12,7
364,376
12,27
131,121
7,2
32,34
313,363
76,45
288,294
4,47
9,7
182,178
8,17
69,49
463,440
32,36
16,17
40,47
227,183
17,4
174,134
352,355
13,9
9,17
275,252
244,229
7,9
24,54
89,77
6,63
50,40
10,7
93,96
98,72
2,23
2,17
310,269
4,7
15,25
2,29
53,56
66,86
82,70
48,40
8,11
472,502
121,118
16,17
36,36
107,155
69,91
26,9
4,4
364,385
24,47
490,480
117,108
13,29
83,56
106,116
9,15
140,101
30,19
124,147
6,27
66,40
25,40
7,9
20,19
88,56
2,2
202,150
4,36
52,70
11,4
175,178
45,51
21,54
38,9
24,45
24,27
5,11
29,49
165,210
237,265
41,25
29,40
17,29
107,79
7,19
70,70
8,11
112,128
228,301
8,49
50,21
2,7
115,98
28,17
5,11
2,21
7,34
127,147
464,398
65,101
12,19
41,60
14,19
6,17
285,327
461,554
46,58
20,13
4,40
39,51
97,155
9,49
28,11
22,32
2,15
270,245
131,98
37,79
11,58
20,29
45,27
22,79
180,178
57,38
144,178
151,166
39,11
240,276
32,32
8,2
20,36
327,407
48,45
10,2
14,2
104,108
25,23
212,216
15,29
124,98
390,363
354,351
132,60
18,4
62,74
16,13
134,142
105,116
34,13
35,29
67,77
4,4
4,15
20,47
195,207
413,425
4,36
20,13
20,7
8,29
8,17
4,32
82,81
147,161
2,15
24,7
145,136
101,128
12,23
13,56
31,2
8,9
9,7
8,4
100,121
176,178
27,25
174,163
59,86
14,60
123,110
17,17
96,136
11,15
21,25
22,47
488,475
55,77
3,49
14,49
193,183
67,67
10,21
26,7
148,161
23,7
126,113
24,42
407,372
73,58
20,27
268,297
42,15
111,98
22,42
70,63
2,13
20,38
18,49
22,42
54,54
390,393
9,7
2,9
4,25
18,27
73,77
20,11
130,118
9,7
2,19
19,11
337,301
13,13
78,96
14,17
37,36
4,54
36,11
82,136
10,11
56,65
17,49
15,49
13,17
20,25
92,123
4,7
16,19
169,161
36,32
14,27
7,2
55,54
14,13
154,181
232,226
157,161
79,45
6,27
2,38
223,245
3,13
20,32
332,368
8,9
14,2
15,19
164,183
54,54
303,308
12,15
17,56
283,359
20,4
2,7
7,17
20,19
4,11
81,93
144,110
6,27
4,21
4,2
115,172
22,15
30,15
21,36
197,161
3,17
16,17
37,49
8,19
122,108
2,13
172,142
108,131
24,13
3,4
419,460
10,11
256,252
2,13
45,63
4,36
2,54
4,38
112,136
14,17
256,290
87,105
10,15
110,110
255,279
116,152
432,435
33,70
20,19
45,67
22,27
4,21
8,7
177,158
15,19
34,34
376,421
20,29
23,15
179,152
25,65
215,229
9,29
68,88
12,60
27,40
4,4
30,32
49,91
11,32
4,21
20,4
48,56
8,23
23,70
6,49
43,45
261,279
45,38
227,223
28,98
15,36
2,19
